date,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total,handicap,out,in
2018-04-21,5,5,6,4,4,4,6,6,5,5,4,5,6,6,3,5,6,4,89,22.9,45,44
2018-04-14,6,5,4,6,5,5,7,7,6,6,4,7,6,5,4,4,6,5,98,25.7,51,47
2018-04-07,4,6,5,5,4,6,6,7,6,8,3,5,7,7,4,4,5,9,101,25.7,49,52
2017-09-24,5,6,6,5,4,6,7,7,6,7,4,6,8,5,4,5,5,6,102,25.7,52,50
2017-09-09,6,6,7,5,4,6,6,7,5,7,5,8,7,9,3,6,6,4,107,25.6,52,55
2017-09-02,4,7,5,5,0,6,5,6,7,6,4,5,8,6,3,4,6,5,92,25.5,45,47
2017-08-19,6,6,6,6,5,6,6,8,5,8,6,5,7,6,4,6,5,6,107,25.4,54,53
2017-08-12,5,6,6,6,5,6,6,6,6,5,6,6,9,6,3,5,4,5,101,25.3,52,49
2017-07-09,6,5,6,7,5,6,6,5,7,6,4,5,7,7,5,5,5,4,101,25.2,53,48
2017-06-24,4,6,5,8,3,5,6,7,6,8,3,8,7,7,3,5,6,4,101,25.1,50,51
2017-06-03,4,6,5,6,5,5,5,6,5,6,4,8,6,7,3,8,6,5,100,25.0,47,53
2017-05-27,6,4,5,5,4,8,6,6,5,5,5,6,4,6,3,5,5,5,93,25.0,49,44
2017-05-13,4,7,5,5,7,6,5,6,6,10,8,6,5,7,4,5,4,7,107,26.6,51,56
2017-04-08,4,9,7,5,4,7,7,5,8,7,7,8,7,6,4,0,5,5,105,26.5,56,49
2016-09-10,6,5,9,6,3,5,8,8,6,7,5,5,6,8,2,6,3,8,106,26.4,56,50
2016-09-03,5,7,7,6,5,9,0,7,6,0,0,7,6,7,0,7,5,5,89,26.3,52,37
2016-08-06,8,8,10,6,5,8,6,6,7,9,5,10,5,9,5,6,5,5,123,26.2,64,59
2016-07-30,4,7,6,6,7,7,7,10,8,8,5,8,9,8,6,5,10,6,127,26.1,62,65
2016-07-16,6,6,7,7,4,8,0,9,8,8,5,5,8,7,4,6,3,5,106,25.9,55,51
2016-07-02,4,6,8,5,4,6,6,6,7,7,5,7,7,0,3,6,6,6,99,25.8,52,47
2016-06-25,5,6,6,5,3,7,6,7,6,6,6,7,7,6,4,6,5,6,104,25.7,51,53
2016-05-28,7,6,5,6,9,5,5,6,4,5,4,10,6,7,4,7,5,6,107,25.6,53,54
2016-05-07,6,7,7,5,4,5,5,6,6,5,6,5,8,6,3,4,7,5,100,25.5,51,49
2016-04-23,7,8,6,6,5,8,5,0,8,9,4,5,9,8,6,4,4,5,115,27.5,53,54
2016-04-02,5,5,6,7,6,5,6,6,7,5,8,6,6,5,6,5,5,7,106,27.4,53,53
2015-09-05,5,4,7,5,3,5,6,7,5,7,4,8,6,7,4,7,4,5,99,27.3,47,52
2015-08-29,5,4,5,6,5,6,6,9,6,6,4,7,6,6,7,9,4,4,105,27.2,52,53
2015-08-16,5,7,5,6,4,6,8,9,6,7,5,6,8,8,5,7,5,5,112,27.2,56,56
2015-08-08,6,8,7,5,5,8,7,10,7,8,4,6,8,5,3,5,4,6,112,27.1,63,49
2015-08-01,5,6,6,7,6,8,7,0,5,9,4,5,5,7,4,6,5,6,109,27.0,50,51
2015-07-26,6,5,6,5,0,7,0,8,5,9,0,6,8,6,4,7,4,5,110,26.9,42,49
2015-07-18,5,8,4,6,6,5,9,7,5,6,4,7,5,7,5,6,4,6,105,26.8,55,50
2015-06-27,5,5,8,6,3,6,0,6,7,7,3,9,9,9,5,5,5,6,111,26.8,46,58
2015-06-06,5,8,5,6,5,6,5,7,8,6,4,10,6,11,4,8,5,4,113,26.7,55,58
2015-05-09,5,5,6,6,4,7,6,7,8,9,3,6,6,9,5,6,8,7,113,26.6,54,59
2015-04-25,4,6,5,5,5,6,4,7,5,6,4,6,5,7,5,5,6,5,96,26.5,47,49
2015-04-11,6,5,7,6,6,7,5,9,5,7,3,7,6,9,0,0,5,4,110,26.9,56,41
2014-09-06,5,5,6,4,4,7,9,7,5,6,4,5,7,7,5,5,8,6,105,26.7,52,53
2014-08-30,5,5,6,6,4,7,7,0,8,7,7,6,9,5,4,5,7,6,112,26.6,48,56
2014-07-26,6,5,6,6,4,5,8,7,9,8,7,7,5,7,3,6,6,8,113,26.5,56,57
2014-07-19,6,6,7,0,4,5,8,0,5,7,4,5,6,7,3,4,5,5,102,26.4,41,46
2014-06-28,8,7,8,8,7,5,8,7,8,7,3,5,7,12,4,6,5,6,121,26.3,66,55
2014-06-07,5,6,6,7,6,9,8,9,7,8,0,8,6,6,5,5,4,5,116,26.2,63,47
2014-05-24,4,6,7,5,2,6,7,9,5,6,4,7,7,13,4,6,6,5,109,25.9,51,58
2014-05-10,6,4,6,6,0,9,6,5,7,0,5,6,5,6,4,4,8,4,104,25.8,49,42
2013-09-21,5,5,9,5,3,9,7,5,6,7,4,6,6,7,3,5,6,5,103,25.6,54,49
2013-09-14,7,5,6,8,4,7,9,6,7,7,3,5,5,7,4,5,5,6,106,25.5,59,47
2013-08-31,4,5,4,4,4,6,6,8,9,8,4,6,6,6,5,6,7,0,105,25.4,50,48
2013-08-03,9,9,6,5,6,9,7,9,4,7,4,6,8,6,4,7,6,5,117,25.3,64,53
2013-06-22,6,4,5,6,4,6,0,5,8,6,3,6,6,8,5,5,5,6,101,25.2,44,50
2013-05-25,4,6,10,4,4,6,8,7,7,6,4,8,6,7,4,5,5,5,106,25.1,56,50
2013-05-11,7,8,5,4,3,8,5,9,5,7,3,7,6,6,6,4,5,8,106,25.0,54,52
2013-04-27,6,8,8,7,3,10,6,7,5,6,5,7,8,6,4,8,4,4,112,24.9,60,52
2013-04-20,4,6,6,4,5,7,6,6,6,8,6,7,5,5,3,5,4,7,100,24.8,50,50
2012-10-13,5,6,7,8,5,7,6,8,9,9,5,5,6,8,6,4,5,4,113,24.8,61,52
2012-10-06,5,5,7,5,3,6,6,6,6,6,4,7,6,6,4,4,5,8,99,24.7,49,50
2012-09-01,4,4,6,5,3,5,6,6,6,5,4,6,6,6,3,5,7,5,92,24.7,45,47
2012-05-26,7,5,8,5,0,6,6,0,5,6,4,6,8,6,4,6,5,6,107,27.1,42,51
2012-05-19,6,6,7,5,5,9,5,7,6,8,3,6,6,5,3,5,5,8,105,27.0,56,49
2012-05-05,5,10,10,7,7,0,7,10,7,8,3,8,6,4,3,4,5,7,118,26.9,63,48
2012-05-02,6,4,8,5,4,7,7,8,7,8,4,6,6,8,4,5,5,6,108,26.8,56,52
2012-04-28,5,5,6,6,5,10,12,8,5,8,4,7,7,9,3,6,4,5,115,26.7,62,53
2012-04-11,5,7,5,0,6,8,6,6,5,7,3,7,6,6,7,7,7,8,113,26.6,48,58
2012-04-07,4,4,5,6,4,7,7,6,6,7,4,9,6,6,5,6,4,5,101,26.5,49,52
2011-10-08,6,6,7,6,8,9,0,8,6,6,3,6,6,7,3,4,5,5,108,26.5,56,45
2011-09-28,9,5,9,0,8,0,8,9,5,8,4,6,9,9,4,4,4,6,121,26.4,53,54
2011-09-21,8,6,6,5,6,5,5,7,5,8,4,5,5,6,3,5,6,5,100,25.9,53,47
2011-09-10,7,6,5,5,5,8,7,6,6,0,4,6,7,6,4,5,6,7,107,25.9,55,45
2011-09-03,5,7,0,6,4,6,7,7,7,0,6,6,7,8,3,4,7,5,109,25.8,49,46
2011-08-20,4,9,8,6,3,5,6,6,5,5,5,6,4,6,5,6,4,5,98,26.1,52,46
2011-07-16,6,5,8,5,6,6,4,6,5,6,4,8,8,6,4,5,4,7,103,26.5,51,52
2011-07-10,5,8,8,5,6,8,9,7,6,7,6,0,0,0,0,0,0,0,75,26.4,62,13
2011-06-01,6,8,7,5,4,0,6,7,6,0,5,6,8,6,4,6,5,5,108,26.3,49,45
